통영 사랑의 마스크 나눔 운동에 시청 여직원 적극 나서,주말 이용해 면마스크 100여 장 제작 우선 배부 마스크 나눔 운동에 범시민적 동참 호소 경남 통영시가 코로나19 위기 극복을 위해 ‘사랑의 마스크 나눔’ 운동을 펼치고 있는 가운데 통영시청 여직원들이 적극 동참하고... 
IBK기업은행  코로나19 피해기업 대상 특별대출 추가 지원,기업은행이 코로나19 피해기업을 위한 금융지원을 확대하기로 했다. IBK기업은행(은행장 윤종원)은‘코로나19 피해기업 특별지원’규모를 1천억 원 늘리고  소상공인 특별지원대출인‘해내리대출’규모를 5000억 원... 
중국인민일보와 항저우쟈핑픽쳐스  대구시에 1억5천만원 기탁,우쟈핑)로부터 코로나19 극복을 위한 공동성금 1억 5천만원을 전달받았다고 밝혔다. 이번 성금 전달은... 의원에게 코로나19로 어려움을 겪고 있는 한국을 돕고 싶다는 의사를 재차 전해왔고  송영길 의원은 부산과... 
추미애  코로나19 대구 관계자들 위로…교정시설 면마스크 전달,추미애 법무부 장관은 9일 신종 코로나바이러스 감염증(코로나19) 사태 극복을 위해 고군분투 중인 관계자들을 위로하고 법무 시설의 대응 실태를 점검했다. 추 장관은 이날 대구 지역을 방문해 권영진 시장을 면담하면서... 
'국제 유가 패닉' 코스피 4% 곤두박질…외국인 1.3조 투매(종합),전민 기자 정은지 기자 = 국제 유가 급락과 신종 코로나바이러스 감염증(코로나19)의 전세계 확산 공포에 9일 코스피 지수가 4% 넘게 곤두박질쳤다. 특히 외국인은 하루 기준 9년4개월 만에 가장 많은... 
창원시  봄철 악취민원 선제대응 나선다,창원시가 봄철 악취민원 해소를 위해 사업장 내 악취물질 등의 배출 조사를 실시하고 있다[사진=창원시]2020.03.09 시는 코로나19 확산 예방을 위해 악취유발물질 배출사업장에 대해 직접 방문 조사는 자제하고  사업장 인근... 
라이프사이즈  단체·일반기업 무료 사용 가능한 ‘화상회의 서비스’ 출시,라이프사이즈 코리아 관계자는 “최근 52시간 근무제 및 코로나19 등의 이슈로 인해 화상회의에 대한 필요성이 높아지고 있지만  많은 기업들이 도입 비용에 부담을 느끼고 있다”며  “어려운 시기인 만큼 많은... 
[코로나19] 크라운해태제과  대구에 ‘짜먹는 양갱’ 11만개 기증,크라운해태제과는 신종코로나 바이러스 감염증(코로나19) 극복을 위해 사투를 벌이고 있는 대구지역의 의료진을 위해 ‘짜먹는 양갱’ 11만개(1억원 상당)를 기증한다고 9일 밝혔다. 현장 의료진과 지원요원들이 간편하게... 
[사설] 영종지역 '국립종합병원' 건립 필요,코로나19 사태가 결정적인 이유다. 감염병 전문병원 기능과 항공 재난 사고 대비 국립종합병원을 영종지역에... 지금 코로나19는 국내는 물론 전 세계로 걷잡을 수 없이 퍼진 상황이다. 다른 외국 공항들은 종합병원까지... 
청도대남병원 중국인 간병인  병원 내 감염으로 보여,정은경 중앙방역대책본부장(질병관리본부장)이 9일 오후 충북 청주시 질병관리본부에서 코로나19 국내... 해당 간병인은 중국에서 국내로 들어오면서 신종 코로나바이러스 감염증(코로나19)을 대남병원에 전파한 것... 
[썰물밀물] 코로나 시대의 풍경,코로나의 위력이 하늘을 활개치고 다니던 비행기들을 일거에 묶어 놓은 것이다. '주기난'까지 겹쳐 이제... &quot;코로나19보다 마스크 안 쓴 한국인이 더 무서워요&quot; &quot;엄마가 '돈도 필요없다. 빨리 돌아오라'고 했어요.&quot; 말 만들기... 
두산 페르난데스 &quot;코로나 19  하나로 뭉치면 해결될 것…웃으며 다시 만나길&quot;,두산 베어스의 외국인 선수 호세 미구엘 페르난데스가 2020시즌 앞둔 각오를 밝혔다. 두산 선수단은 일본 일본 미야자키에서 전지훈련을 마친 뒤 8일 인천국제공항을 통해 귀국했다. 두산은 지난해 12월30일 호주... 
2월 구직급여 지급액 7819억 원 '역대 최다',지난달 노동시장 동향에서 신종 코로나바이러스 감염증(코로나19) 확산의 여파는 뚜렷이 나타나지 않은 것으로 고용노동부는 분석했다. 고용노동부 관계자는 &quot;많은 사업장이 코로나19 확산에 대해 고용... 
여수시  ‘면 마스크 자체제작’ 4000매 ‘무상보급’,전남 여수시가 코로나19 장기화로 마스크 품귀 현상이 나타나자 ‘면 마스크’를 자체 제작해 보급키로 했다고 9일 밝혔다. 여수시는 면 마스크에 맞는 정전기 필터를 장착하여 사용하면 코로나19 예방에 도움이 된다는... 
코로나19 대전 나흘째 '0명'  소강상태?… &quot;19번째는 오류&quot;,대전지역에선 지난 4일 지역 내 코로나19 18번째 확진자 이후 추가 확진 판정 없이 소강상태를 이어가고 있다. 자료사진=본사DB / 굿모닝충청 정민지 기자  대전지역에서 지난 4일 코로나19 18번째 확진자 이후 추가 확진... 
코로나 걱정... 박용만 &quot;산업계 전방위 피해  추경 전폭 확대해야&quot;,&quot;전대미문의 코로나19 상황으로 산업계의 피해가 전방위적으로 발생하고 있습니다. 국회에서 심사가 시작될 추경안 11조7000억원 규모로는 코로나19 피해 지원에 역부족이라고 예상합니다.&quot; 박용만 대한상공회의소 회장... 
충북 코로나 19 현황 총25명 확진  3명 퇴원 22명 입원 치료 중,▲ 충북도 전정애 보건복지 국장이 5일 코로나 상황 브리핑을 하고 있다. ⓒ 내외경제 TV/중부= 충북... 충북 코로나 19 확진자 및 환자 현황은 청주 9명  충주3명  증평1명  괴산 10명  음성1명  단양 1명등 총 25명 중... 
신천지 연관됐다…가짜뉴스에 강릉 전통시장 직격탄,상인회는 &quot;전통시장이 신천지 메카처럼 돼버린 억울함을 호소하기 위해 기자회견을 자청했다&quot;며 &quot;코로나19로... 해당 SNS는 지난 7일 &quot;코로나 사태와 관련한 신천지 제보를 일일이 확인하지 못하고 너무 경솔한 행동을 한 것... 
대구 출신 배상문 코로나19 성금 기탁,배상문(34)이 코로나19 사태 피해자들을 위한 성금 3500만원을 사회복지공동모금회 사랑의 열매에 전달했다. 배상문은 9일 &quot;코로나19 확산에 특히 힘들어할 취약계층이 보호받기를 바라는 마음으로 기부를 결심했다&quot; 며... 
목포시 '드라이브 스루' 선별검사소 운영,목포 유달경기장에 코로나19 자동차 이동형(Drive Thru) 선별진료소가 설치된다. 9일 목포시는 &quot;아직까지... 자동차 이동형 선별진료소 이용 대상은 코로나19 유증상자로 반드시 동승자 없이 혼자 방문(운전)해야 하고 문진... 
&quot;글쓰기란 `나만의 것`을 `모두의 언어`로 바꾸는 것&quot;,전업작가라는 말은 거창하고 생계형 저자가 된 건데  책을 내자마자 코로나19가 터져서 생업의 수단인 강연이나 행사를 하는 게 쉽지 않아졌다. 많은 작가들의 생계가 걱정이 된다&quot;고도 했다. 전업작가가 됐으니 다음 책... 
부산 연제구  지역상권 살리기 위해 '구내식당 휴무일 월 1회→주 1회'로,이는 코로나19사태로 최근 소비심리가 극도로 위축되면서 지역식당 등 영세 자영업자들이 매출감소로... 이와 함께 구는 공무원의 주2회 이상 외부식당 이용을 권고 하고  지난 2일부터 코로나19 상황종료 시 까지... 
